Epoch	Train_Loss	Val_Loss	Train_R2	Val_R2
1	0.231500	0.173633	0.766990	0.821878
2	0.155024	0.149206	0.843970	0.846911
3	0.134047	0.132186	0.865085	0.864347
4	0.119825	0.133802	0.879400	0.862693
5	0.110806	0.124670	0.888475	0.872065
6	0.104097	0.119200	0.895227	0.877690
7	0.098849	0.119389	0.900512	0.877481
8	0.094809	0.118598	0.904577	0.878338
9	0.092148	0.114007	0.907254	0.883010
10	0.090102	0.116808	0.909314	0.880204
11	0.088188	0.117282	0.911241	0.879713
12	0.086606	0.114098	0.912833	0.882962
13	0.085254	0.114311	0.914194	0.882662
14	0.075756	0.107740	0.923754	0.889453
15	0.074594	0.109325	0.924923	0.887831
16	0.073653	0.109967	0.925870	0.887138
17	0.073073	0.108369	0.926452	0.888774
18	0.072364	0.110454	0.927168	0.886633
19	0.067268	0.106990	0.932296	0.890205
20	0.066252	0.107315	0.933320	0.889874
21	0.065843	0.108180	0.933730	0.888980
22	0.065280	0.108286	0.934296	0.888871
23	0.064827	0.108583	0.934753	0.888582
24	0.061922	0.107109	0.937677	0.890090
25	0.061335	0.107293	0.938267	0.889906
26	0.061012	0.108738	0.938594	0.888409
27	0.060596	0.108125	0.939011	0.889050
28	0.058984	0.107047	0.940633	0.890166
29	0.058721	0.108015	0.940899	0.889157
