Epoch	Train_Loss	Val_Loss	Train_R2	Val_R2	LR
1	0.250336	0.176293	0.748034	0.819049	0.000100
2	0.188682	0.163335	0.810098	0.832344	0.000200
3	0.180457	0.158647	0.818375	0.837153	0.000300
4	0.170685	0.151730	0.828206	0.844269	0.000400
5	0.161272	0.148903	0.837681	0.847164	0.000500
6	0.154271	0.145779	0.844727	0.850371	0.000500
7	0.145625	0.143486	0.853431	0.852717	0.000499
8	0.139250	0.141425	0.859850	0.854839	0.000498
9	0.133296	0.140536	0.865838	0.855744	0.000495
10	0.128472	0.139834	0.870705	0.856471	0.000490
11	0.124509	0.139408	0.874684	0.856907	0.000485
12	0.120378	0.141333	0.878844	0.854941	0.000478
13	0.116843	0.139615	0.882399	0.856709	0.000471
14	0.113628	0.139763	0.885635	0.856544	0.000462
15	0.110964	0.140659	0.888316	0.855633	0.000452
16	0.108176	0.141849	0.891124	0.854406	0.000442
17	0.106153	0.139384	0.893161	0.856935	0.000430
18	0.103696	0.138681	0.895634	0.857660	0.000417
19	0.101677	0.141383	0.897663	0.854878	0.000404
20	0.099921	0.140780	0.899433	0.855503	0.000390
21	0.098040	0.138080	0.901325	0.858271	0.000375
22	0.096496	0.140422	0.902880	0.855866	0.000360
23	0.095043	0.139273	0.904342	0.857050	0.000344
24	0.093829	0.138979	0.905561	0.857354	0.000328
25	0.092381	0.139667	0.907020	0.856645	0.000311
26	0.091117	0.140102	0.908291	0.856205	0.000294
27	0.090363	0.141143	0.909052	0.855125	0.000277
28	0.088969	0.142357	0.910453	0.853891	0.000259
