Epoch	Train_Loss	Val_Loss	Train_R2	Val_R2
1	0.317952	0.218856	0.679854	0.775436
2	0.211197	0.225029	0.787411	0.769032
3	0.195769	0.220683	0.802927	0.773485
4	0.185235	0.211342	0.813562	0.782986
5	0.179565	0.213922	0.819278	0.780342
6	0.174366	0.198115	0.824505	0.796618
7	0.171023	0.165289	0.827849	0.830308
8	0.166281	0.160238	0.832634	0.835509
9	0.162859	0.186288	0.836083	0.808722
10	0.160669	0.160505	0.838275	0.835218
11	0.157555	0.156663	0.841426	0.839208
12	0.154154	0.172463	0.844859	0.822956
13	0.152259	0.151117	0.846746	0.844876
14	0.150479	0.179156	0.848547	0.816046
15	0.148066	0.140511	0.850982	0.855844
16	0.146127	0.162493	0.852942	0.833163
17	0.144795	0.131975	0.854246	0.864567
18	0.143037	0.140193	0.856044	0.856155
19	0.141536	0.150412	0.857537	0.845665
20	0.139853	0.143515	0.859221	0.852760
21	0.139042	0.138721	0.860052	0.857596
22	0.137811	0.131665	0.861273	0.864923
23	0.136872	0.124907	0.862230	0.871818
24	0.136030	0.130654	0.863078	0.865898
25	0.134905	0.138606	0.864233	0.857756
26	0.135183	0.116955	0.863936	0.880013
27	0.134210	0.125072	0.864948	0.871656
28	0.133747	0.132196	0.865414	0.864403
29	0.133465	0.113383	0.865659	0.883701
30	0.132177	0.115914	0.866975	0.881103
31	0.132368	0.135509	0.866756	0.860917
32	0.131665	0.112773	0.867486	0.884298
33	0.130847	0.119356	0.868313	0.877555
34	0.131512	0.116098	0.867643	0.880892
35	0.130574	0.128049	0.868571	0.868629
36	0.130831	0.115064	0.868315	0.881923
37	0.130515	0.127394	0.868650	0.869282
38	0.129743	0.132892	0.869415	0.863634
39	0.123749	0.112200	0.875464	0.884882
40	0.123072	0.109353	0.876127	0.887814
41	0.122664	0.111112	0.876543	0.886026
42	0.122664	0.116470	0.876566	0.880486
43	0.122549	0.113503	0.876668	0.883548
44	0.122080	0.114151	0.877137	0.882890
45	0.122238	0.117888	0.876955	0.879031
46	0.121918	0.117900	0.877296	0.878985
47	0.118873	0.107613	0.880362	0.889585
48	0.117875	0.107295	0.881359	0.889905
49	0.117764	0.110692	0.881467	0.886425
50	0.117747	0.108428	0.881485	0.888757
